alr0290	0.00	3.27	0.00
all0291	1.83	0.00	0.00
all0292	1.33	1.96	1.72
all0293	1.77	0.00	0.00
asl0294	2.41	1.98	1.10
alr0295	1.89	1.62	0.00
alr0296	1.59	1.57	2.08
alr0297	1.88	1.57	1.48
all0298	0.00	5.41	0.00
alr0299	1.51	1.48	1.77
alr0300	1.42	1.66	1.48
alr0301	1.02	1.32	1.88
alr0302	1.61	1.27	1.60
alr0303	0.00	0.00	0.00
alr0304	3.91	3.25	1.48
all0306	1.38	1.24	2.04
all0307	1.70	2.05	1.59
alr0308	1.05	0.99	0.67
alr0309	2.86	4.27	2.13
asl0310	1.73	2.04	1.97
all0311	1.80	1.94	0.00
alr0312	1.18	1.50	0.88
all0313	0.00	18.74	0.00
all0315	1.42	1.62	1.93
all0316	1.37	1.44	1.46
alr0317	1.05	1.06	1.05
alr0318	0.66	1.32	1.05
asl0319	0.00	0.88	1.46
all0320	0.60	0.67	1.23
all0321	0.51	0.59	1.03
all0322	0.26	0.25	1.00
all0323	0.00	0.00	0.00
all0324	0.00	0.00	0.00
all0325	0.00	0.00	0.00
